"","symbol","date","open","high","low","close","volume","adjusted"
"162","PG",2020-09-17,137.059998,137.880005,136.190002,137.520004,4648500,136.760635
"163","PG",2020-09-18,136.910004,137.929993,136.259995,137.369995,10192800,136.611465
"164","PG",2020-09-21,137,137.470001,134.699997,136.710007,7092600,135.955124
"165","PG",2020-09-22,136.490005,139.029999,136.240005,137.960007,4722800,137.198212
"166","PG",2020-09-23,138.419998,138.419998,136.089996,136.309998,6373700,135.557312
"167","PG",2020-09-24,136.669998,137.149994,135.710007,136.919998,5708200,136.163956
"168","PG",2020-09-25,135.889999,137.990005,135.889999,137.619995,4969900,136.860077
"169","PG",2020-09-28,138.559998,139.940002,137.779999,138.009995,5810800,137.247925
"170","PG",2020-09-29,138.389999,138.419998,136.660004,137.259995,4492100,136.502075
"171","PG",2020-09-30,138.160004,139.850006,137.809998,138.990005,8727800,138.222519
"172","PG",2020-10-01,139.580002,139.990005,138.210007,139.240005,5713400,138.471146
"173","PG",2020-10-02,137.929993,139.119995,136.949997,138.119995,6077900,137.357315
"174","PG",2020-10-05,138.720001,139.649994,138.300003,139.389999,6333900,138.620316
"175","PG",2020-10-06,139.419998,140.770004,138.809998,139.610001,6042900,138.839096
"176","PG",2020-10-07,140.080002,141.389999,139.369995,140.699997,4640900,139.92308
"177","PG",2020-10-08,140.559998,141.929993,140.360001,141.649994,4569800,140.867828
"178","PG",2020-10-09,141.839996,143.639999,141.699997,142.919998,6551700,142.130814
"179","PG",2020-10-12,143.330002,145.330002,143.330002,144.490005,5791500,143.692154
"180","PG",2020-10-13,143.820007,144.839996,143.460007,144.210007,4509400,143.413696
"181","PG",2020-10-14,144.179993,145.100006,143.080002,144.039993,3860700,143.244629
"182","PG",2020-10-15,143.059998,144.389999,142.889999,143.830002,4997100,143.035797
"183","PG",2020-10-16,144.419998,145.869995,143.919998,144.389999,6806100,143.592697
"184","PG",2020-10-19,144.470001,145.389999,141.130005,141.910004,6427600,141.126404
"185","PG",2020-10-20,145.610001,145.690002,141.899994,142.479996,7582100,141.693237
"186","PG",2020-10-21,142.490005,144.339996,142.470001,143.25,5649700,142.459
