"","symbol","date","adjusted","macd","signal","diff"
"49","NKE",2020-09-09,114.669296,3.97076737824777,4.55530873971491,-0.584541361467139
"50","NKE",2020-09-10,114.559517,3.55737672907011,4.41962401041516,-0.862247281345054
"51","NKE",2020-09-11,117.763069,3.43118669443152,4.26721058826585,-0.836023893834325
"52","NKE",2020-09-14,119.040497,3.33784159011714,4.11451704177348,-0.776675451656341
"53","NKE",2020-09-15,119.030518,3.34730813875463,3.96384526429362,-0.616537125538988
"54","NKE",2020-09-16,118.351883,3.34829981993248,3.8026487683959,-0.454348948463426
"55","NKE",2020-09-17,116.126358,3.28210445312496,3.64972011130402,-0.367615658179061
"56","NKE",2020-09-18,114.429779,2.93569040162736,3.48862884810682,-0.552938446479466
"57","NKE",2020-09-21,113.142365,2.44206009702468,3.29473725581452,-0.852677158789837
"58","NKE",2020-09-22,116.635338,2.37464522366833,3.11739034975013,-0.742745126081807
"59","NKE",2020-09-23,126.854774,2.7088632862623,3.02311107832704,-0.314247792064745
"60","NKE",2020-09-24,124.499512,2.97040514676026,2.97191312858579,-0.00150798182553347
"61","NKE",2020-09-25,123.98056,3.10057897448421,2.94555061573769,0.155028358746526
"62","NKE",2020-09-28,124.070381,3.22766606016778,2.93225705145026,0.295409008717518
"63","NKE",2020-09-29,126.096298,3.25918853711444,2.92235579780381,0.336832739310632
"64","NKE",2020-09-30,125.287926,3.2397044807265,2.91764468975954,0.322059790966963
"65","NKE",2020-10-01,126.385719,3.25107827574027,2.9526877868832,0.298390488857075
"66","NKE",2020-10-02,126.385719,3.31090453577367,3.04922605785531,0.261678477918367
"67","NKE",2020-10-05,127.653175,3.54979696715412,3.17979847379817,0.369998493355945
"68","NKE",2020-10-06,127.393692,3.94351870464074,3.31698240917355,0.626536295467182
"69","NKE",2020-10-07,129.798843,4.49598662697159,3.48649146253037,1.00949516444122
"70","NKE",2020-10-08,129.449554,4.88689505994655,3.68497102758174,1.20192403236481
"71","NKE",2020-10-09,130.716995,4.68131622695127,3.84648771277991,0.834828514171364
"72","NKE",2020-10-12,129.200058,4.45491985223767,3.9793467477936,0.475573104444072
"73","NKE",2020-10-13,128.940582,4.24233485277994,4.0907501224662,0.151584730313735
